iteration,total_reward
-1,149.45217391304504
1,14.667685589519518
2,6.360649819494627
3,30.91818181818146
4,57.308250825082546
5,26.225581395348577
6,42.19209621993105
7,40.56666666666641
8,39.91612903225779
9,16.562264150943236
10,19.95761589403945
11,13.803030303030198
12,13.616723549487954
13,25.094539249146486
14,17.587188612099478
15,21.84598540145967
16,62.917647058823896
17,36.14197530864176
18,67.65918367347022
19,202.49863481228888
20,54.12307692307672
21,41.41612903225784
22,90.30000000000088
23,47.26744186046488
24,131.93284671532984
25,50.42550335570444
26,116.4739130434792
27,107.71083591331383
28,38.62839506172817
29,48.28458781361982
30,48.307260726072336
31,387.3160305343424
32,84.39534050179293
33,57.48955223880603
34,277.9666666666657
35,637.729850746251
36,308.6821561338251
37,152.8405498281812
38,658.3530120481744
39,753.159183673455
40,226.99855595668086
41,587.883333333317
42,216.67084639498788
43,96.89530201342387
44,102.28441064638919
45,355.86353790613094
46,23.05714285714268
47,98.09322033898405
48,40.24482758620668
49,261.4945945945941
50,389.8051660516509
51,371.4491228070103
52,614.3576547231079
53,814.0687499999768
54,648.7463087248135
55,258.1384615384584
56,833.3999999999728
57,750.367509025251
58,844.6078014184197
59,253.70617283950733
60,644.9333333333145
61,854.5999999999732
62,8.379856115107925
63,5.452631578947424
64,10.281660899653946
65,397.7712230215693
66,745.2644067796384
67,806.5978798586319
68,577.1745762711696
69,600.6070175438418
70,511.46962457336747
71,524.6064516128928
72,229.26273062730766
73,861.6999999999847
74,854.9650176678249
75,434.5285714285656
76,902.1999999999883
77,298.47903780068447
78,890.2705882352753
79,641.872118959099
80,901.0999999999817
81,197.3948805460766
82,534.7194244604235
83,897.1999999999867
84,376.0984555984471
85,1.961538461538511
86,0.8763239875389781
87,1.2350168350168786
88,4.239393939393992
89,1.5866449511401064
90,-0.023404255319092515
91,-1.113043478260838
92,3.961245674740544
93,3.8805194805195358
94,2.3693290734824806
95,3.9720279720280582
96,763.5470588235017
97,640.7089700996501
98,261.4655290102364
99,865.94705882351
100,860.1980198019668
101,846.947368421031
102,847.3069930069712
103,814.3390070921772
104,652.5789473684081
105,840.7740614334224
106,216.50000000000176
107,233.3512027491421
108,554.6289855072329
109,-3.647808764940223
110,157.32280701754598
111,-9.728013029315939
112,17.744262295081796
113,-3.031541218637986
114,124.47094972067202
115,8.59473684210525
